subscribed,predicted_subscribed,predicted_probability,marital,age_group
0,0,0.17045445185783756,married,50-59
0,0,0.16291598545291222,married,50-59
0,0,0.19370581454109712,married,30-39
0,0,0.23996125183058648,married,40-49
0,0,0.19171722605605981,married,50-59
0,0,0.17671180433593991,married,40-49
0,0,0.21558360729610718,married,50-59
0,0,0.18148319690243506,married,40-49
0,0,0.2277017774201963,single,Under 30
0,0,0.2059708265318691,single,Under 30
0,0,0.18148319690243506,married,40-49
0,0,0.2059708265318691,single,Under 30
0,0,0.1979120132832002,single,Under 30
0,0,0.1626366693639362,divorced,50-59
0,0,0.22173119239355427,married,30-39
0,0,0.2303481877702734,married,50-59
0,0,0.22173119239355427,married,30-39
0,0,0.17884487123710252,married,40-49
0,0,0.1941323390278043,married,50-59
0,0,0.18834610084503828,single,30-39
0,0,0.20248045444761534,married,30-39
0,0,0.1546716468262402,married,50-59
0,0,0.2755441459268572,single,50-59
0,0,0.21049583973827415,single,40-49
0,0,0.19802275346726397,married,30-39
0,0,0.22877867408342056,married,30-39
0,0,0.2252052997347478,married,50-59
0,0,0.18572727607531853,married,30-39
0,0,0.1992648682631541,single,50-59
0,0,0.18642738217328048,married,50-59
0,0,0.23042329386767105,married,40-49
0,0,0.2252052997347478,married,50-59
0,0,0.2171829341518407,married,40-49
0,0,0.16168477682307938,married,50-59
0,0,0.18833449173438868,divorced,50-59
0,0,0.17631922007156223,married,50-59
0,0,0.19900224189090857,married,30-39
0,0,0.21284747696507042,married,50-59
0,0,0.22637499261518926,married,40-49
0,0,0.20019307536711942,married,50-59
0,0,0.21857792380808383,married,30-39
0,0,0.22986576681732848,single,30-39
0,0,0.2244806171055557,married,50-59
0,0,0.18844370450900372,married,40-49
0,0,0.19300101778992595,single,40-49
0,0,0.21902171201683923,married,50-59
0,0,0.20015870713082173,married,40-49
0,0,0.2270528123877519,married,30-39
0,0,0.1941522680451311,married,40-49
0,0,0.20132719180791536,married,50-59
0,0,0.16747525725852402,married,30-39
0,0,0.2007062288239623,married,60+
0,0,0.2281591303966497,single,50-59
0,0,0.15419715339785106,married,50-59
0,0,0.1765895598610849,married,50-59
0,0,0.18439764644838155,married,50-59
0,0,0.15968280414365466,married,40-49
0,0,0.169320084432124,married,50-59
0,0,0.2424585256539771,single,Under 30
0,0,0.212662398754937,married,40-49
0,0,0.1991122785140778,married,50-59
0,0,0.1840052295602031,married,40-49
0,0,0.1888023713583409,married,40-49
0,0,0.2019495905747875,married,40-49
0,0,0.2324222569972641,married,30-39
0,0,0.21109271047992184,single,40-49
0,0,0.22632524278468785,married,30-39
0,0,0.20488514375488076,married,50-59
0,0,0.16049972327597709,single,40-49
0,0,0.2358066054918567,married,40-49
0,0,0.2180353545207941,divorced,40-49
0,0,0.1881482403561762,married,40-49
0,0,0.20428788128458344,married,50-59
0,0,0.18913450594127781,married,30-39
1,0,0.15271657491358487,divorced,40-49
0,0,0.23219895353663444,married,50-59
0,0,0.15602271969758932,married,30-39
0,0,0.1831792647424204,married,50-59
0,0,0.17026554598017427,married,40-49
0,0,0.15509337647315236,married,50-59
0,0,0.14373306272528494,married,50-59
0,0,0.16351508978983262,married,30-39
1,0,0.20720223893229378,married,40-49
0,0,0.24082465196686348,single,30-39
0,0,0.19984692833207884,divorced,30-39
0,0,0.22951083032410835,married,40-49
0,0,0.22101218519762506,married,30-39
1,0,0.21852543807915906,married,40-49
0,0,0.19278232980101256,married,30-39
0,0,0.22092318790295898,married,30-39
0,0,0.19919389566023715,married,50-59
0,0,0.18068560894146726,married,60+
0,0,0.21710370818252137,married,30-39
0,0,0.22086099654427974,married,40-49
0,0,0.20724501381083235,married,40-49
0,0,0.2279050485608339,married,40-49
0,0,0.18871625924066834,divorced,50-59
0,0,0.23181728504267618,single,30-39
0,0,0.22622120076911892,married,40-49
0,0,0.21923665304184853,married,50-59
0,0,0.18181071846383143,married,40-49
0,0,0.22469937398085765,married,50-59
0,0,0.22646124331511236,divorced,50-59
0,0,0.22646124331511236,divorced,50-59
0,0,0.17383633928980902,single,40-49
0,0,0.19239338849385024,married,30-39
0,0,0.1926820723203858,married,30-39
0,0,0.20704975930457778,married,40-49
0,0,0.18440637057065798,married,40-49
0,0,0.2519480516161889,divorced,60+
0,0,0.1627384187691999,married,50-59
0,0,0.19017529965884122,divorced,30-39
0,0,0.15989321587529967,married,50-59
0,0,0.22231556140822684,married,30-39
0,0,0.1914332108346776,married,30-39
0,0,0.22034303648138315,divorced,50-59
0,0,0.17188504214864012,divorced,50-59
0,0,0.2237406135567865,married,50-59
0,0,0.1521338316114351,divorced,40-49
0,0,0.15390949237227586,married,40-49
0,0,0.18646376844892876,divorced,40-49
