status_checking_account,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_percent,personal_status_sex,other_debtors_guarantors,present_residence_since,property,age,other_installment_plans,housing,existing_credits_count,job,dependents_count,telephone,foreign_worker,credit_risk_good,predicted_credit_risk,predicted_probability
A11,6,A34,A43,1169,A65,A75,4,male_single,A101,4,A121,67,A143,A152,2,A173,1,A192,yes,1,1,0.963799828518108
A12,48,A32,A43,5951,A61,A73,2,female_divorced_separated_married,A101,2,A121,22,A143,A152,1,A173,1,A191,yes,0,0,0.36917436778361945
A14,12,A34,A46,2096,A61,A74,2,male_single,A101,3,A121,49,A143,A152,1,A172,2,A191,yes,1,1,0.9709997752381127
A11,42,A32,A42,7882,A61,A74,2,male_single,A103,4,A122,45,A143,A153,1,A173,2,A191,yes,1,1,0.7398703408597682
A11,24,A33,A40,4870,A61,A73,3,male_single,A101,4,A124,53,A143,A153,2,A173,2,A191,yes,0,0,0.25227771265185256
A14,36,A32,A46,9055,A65,A73,2,male_single,A101,4,A124,35,A143,A153,1,A172,2,A192,yes,1,1,0.7354319935566248
A14,24,A32,A42,2835,A63,A75,3,male_single,A101,4,A122,53,A143,A152,1,A173,1,A191,yes,1,1,0.9295911897816745
A12,36,A32,A41,6948,A61,A73,2,male_single,A101,2,A123,35,A143,A151,1,A174,1,A192,yes,1,1,0.7059843432652048
A14,12,A32,A43,3059,A64,A74,2,male_divorced_separated,A101,4,A121,61,A143,A152,1,A172,1,A191,yes,1,1,0.9879684180900868
A12,30,A34,A40,5234,A61,A71,4,male_married_widowed,A101,2,A123,28,A143,A152,2,A174,1,A191,yes,0,0,0.2748283572058293
A12,12,A32,A40,1295,A61,A72,3,female_divorced_separated_married,A101,1,A123,25,A143,A151,1,A173,1,A191,yes,0,0,0.30135568565472814
A11,48,A32,A49,4308,A61,A72,3,female_divorced_separated_married,A101,4,A122,24,A143,A151,1,A173,1,A191,yes,0,0,0.12042553923051798
A12,12,A32,A43,1567,A61,A73,1,female_divorced_separated_married,A101,1,A123,22,A143,A152,1,A173,1,A192,yes,1,1,0.8091188723265156
A11,24,A34,A40,1199,A61,A75,4,male_single,A101,4,A123,60,A143,A152,2,A172,1,A191,yes,0,1,0.6007361160189553
A11,15,A32,A40,1403,A61,A73,2,female_divorced_separated_married,A101,4,A123,28,A143,A151,1,A173,1,A191,yes,1,0,0.30232206420050795
A11,24,A32,A43,1282,A62,A73,4,female_divorced_separated_married,A101,2,A123,32,A143,A152,1,A172,1,A191,yes,0,1,0.5064214405497831
A14,24,A34,A43,2424,A65,A75,4,male_single,A101,4,A122,53,A143,A152,2,A173,1,A191,yes,1,1,0.971787570307371
A11,30,A30,A49,8072,A65,A72,2,male_single,A101,3,A123,25,A141,A152,3,A173,1,A191,yes,1,0,0.21079238491707097
A12,24,A32,A41,12579,A61,A75,4,female_divorced_separated_married,A101,2,A124,44,A143,A153,1,A174,1,A192,yes,0,0,0.4203888507712498
A14,24,A32,A43,3430,A63,A75,3,male_single,A101,2,A123,31,A143,A152,1,A173,2,A192,yes,1,1,0.9193715317319042
A14,9,A34,A40,2134,A61,A73,4,male_single,A101,4,A123,48,A143,A152,3,A173,1,A192,yes,1,1,0.8933532527895337
A11,6,A32,A43,2647,A63,A73,2,male_single,A101,3,A121,44,A143,A151,1,A173,2,A191,yes,1,1,0.7705502498711188
A11,10,A34,A40,2241,A61,A72,1,male_single,A101,3,A121,48,A143,A151,2,A172,2,A191,no,1,1,0.8922281488534457
A12,12,A34,A41,1804,A62,A72,3,male_single,A101,4,A122,44,A143,A152,1,A173,1,A191,yes,1,1,0.954294166302793
A14,10,A34,A42,2069,A65,A73,2,male_married_widowed,A101,1,A123,26,A143,A152,2,A173,1,A191,no,1,1,0.99363501454247
A11,6,A32,A42,1374,A61,A73,1,male_single,A101,2,A121,36,A141,A152,1,A172,1,A192,yes,1,1,0.8122479777404745
