is_promoted,predicted_is_promoted,predicted_probability,gender,age_group
0,1,0.5989304441965735,f,30-39
0,1,0.6884465328961792,m,30-39
0,0,0.2368253012021053,m,30-39
0,0,0.13392809260477678,m,30-39
0,0,0.11111247752342716,m,40-49
0,0,0.37930086048943723,m,30-39
0,0,0.22805435436042112,f,30-39
0,0,0.24978496838174144,m,30-39
0,0,0.3844131306032747,m,Under 30
0,1,0.7298967118652318,m,30-39
0,0,0.4060331709416886,m,30-39
1,1,0.5893527803192916,f,30-39
0,1,0.5087994675780754,m,40-49
0,0,0.28546947804080125,m,30-39
0,0,0.304457285839535,m,30-39
0,0,0.17928647571212575,m,30-39
0,0,0.291430215600901,m,30-39
0,0,0.11003200746573537,m,30-39
0,0,0.28856924754817265,m,30-39
0,0,0.2716464891424887,m,30-39
0,1,0.588263200410849,m,30-39
0,0,0.277659110687574,m,40-49
0,0,0.30263776778762574,f,Under 30
0,0,0.24156729711979946,m,Under 30
0,1,0.5071908851021487,m,30-39
0,1,0.8677765545378358,m,Under 30
0,1,0.500368185163638,m,30-39
0,0,0.4689001543620058,m,30-39
0,0,0.2803351940230602,m,Under 30
0,0,0.23265132780548867,m,Under 30
0,1,0.680975944728953,m,30-39
0,0,0.09888141472813178,m,Under 30
0,0,0.15386247991214372,f,Under 30
0,0,0.18905511959297414,m,50+
0,1,0.7956172676436272,m,Under 30
0,0,0.1518147393893924,m,40-49
0,0,0.41326718977767024,m,30-39
0,0,0.42001133564403825,f,40-49
0,1,0.5437071747346275,m,40-49
1,1,0.6499511400726558,m,30-39
0,0,0.4411192627986173,m,30-39
0,0,0.35269857105054586,f,Under 30
0,0,0.263357530516868,m,50+
0,0,0.14118232406249387,m,Under 30
0,1,0.7114944089539457,m,40-49
0,1,0.6279780656354212,f,50+
0,1,0.5565054908724586,f,30-39
0,0,0.33409338897871743,m,40-49
0,0,0.20453897813609193,m,30-39
0,0,0.3906337909263124,f,50+
0,0,0.4711163367927612,m,Under 30
0,0,0.35483327191237257,f,30-39
0,0,0.1710437825081057,m,40-49
0,0,0.14334892487768142,m,30-39
0,0,0.4640943332237639,m,30-39
0,0,0.22199814831953463,m,Under 30
0,0,0.21435190775764465,f,Under 30
0,0,0.36158190674912166,m,40-49
0,0,0.15710449702714221,m,Under 30
0,0,0.38429513067295173,m,40-49
1,0,0.3605508856862144,m,50+
0,0,0.3359591216053499,m,Under 30
0,0,0.3173293493570754,f,Under 30
0,1,0.50388595961935,m,30-39
0,1,0.5976007184195352,m,30-39
0,0,0.29731727460880747,f,30-39
1,1,0.7185920138599808,m,Under 30
1,1,0.8353647159508616,m,Under 30
0,1,0.7121283899479874,m,30-39
1,0,0.305931148285088,m,30-39
