applicant_id,gender,ethnicity,age,age_group,disability_status,veteran_status,education_level,application_date,application_month,application_quarter,department,hiring_manager,university_prestige,gpa,degree_relevance,years_experience,career_gap_months,previous_employer_tier,technical_skills_score,communication_skills,leadership_potential,problem_solving,cultural_fit,adaptability_score,technical_interview_score,behavioral_interview_score,case_study_score,panel_interview_score,referral_source,alumni_connection,internal_referral_strength,location_tier,socioeconomic_background,first_generation_college,previous_application_count,previous_rejection_count,previous_salary,self_reported_skills,verified_skills,true_competency_score,y_true,biased_competency_score,y_pred,y_prob,group_gender,group_ethnicity,group_age,group_disability,group_education,group_department,group
0,Female,White,46,45-49,None,Non-veteran,Associate,2023-04-15,4,Q2-2023,HR,Manager_19,Top-100,2.7861726568943426,Low,25,27,Startup,17.989248637798,65.64542422789059,80.45565014458333,69.05389578671144,56.909149508006294,66.34080664472155,92.0,84.10498234320391,87.51812024483436,95.49363030226132,Direct Application,0,None,Tier-2,Middle,0,2,2,76601.05298450752,100.0,70.9961950542129,82.31179041701381,1,59.39304526993732,1,0.4949420439161443,Female,White,45-49,None,Associate,HR,Female
1,Female,White,40,35-39,None,Non-veteran,Associate,2023-09-20,9,Q3-2023,Marketing,Manager_8,Regional,2.5663790362411723,Irrelevant,6,13,Non-profit,13.561113302004742,67.59826854399103,40.02748234279727,64.51164912467607,72.31233715407478,71.66552887216321,79.60293547376486,61.39443826752428,70.67223688386801,75.65430764064767,Career Fair,0,None,Tier-3,Low,0,3,3,65844.73297794825,62.49717114326827,79.12773120214541,59.7714583539415,0,41.22468022797022,0,0.34353900189975184,Female,White,35-39,None,Associate,Marketing,Female
2,Male,Black,22,18-24,None,Non-veteran,Bachelors,2023-05-11,5,Q2-2023,Marketing,Manager_10,Top-100,3.302176157771379,Irrelevant,2,1,Fortune-500,65.8133304589551,65.46857455669465,56.03918070565609,56.51672714093196,78.9264369503404,88.97298987537712,88.85977752090027,48.21363006359274,83.2800340068374,41.23788918307761,LinkedIn,1,None,Tier-2,Middle,0,2,1,92073.15050505573,90.80441553029972,69.24212102031315,70.34274177973036,0,55.933290398857366,0,0.4661107533238114,Male,Black,18-24,None,Bachelors,Marketing,Male
3,Female,Mixed,46,45-49,None,Non-veteran,Bachelors,2023-02-23,2,Q1-2023,Engineering,Manager_17,Top-100,2.8980826372754964,Medium,0,15,Startup,72.3980443522406,100.0,78.13071793126336,82.24202979258287,54.33115439926897,71.36277959771289,83.37651617697216,48.727433093966376,74.21280945338283,90.13032482691885,Campus Recruiting,0,None,Tier-2,Prefer not to say,1,3,3,96569.02318202214,100.0,93.66493338084574,76.73372220260893,1,66.10252966066814,1,0.5508544138389012,Female,Mixed,45-49,None,Bachelors,Engineering,Female
4,Male,Mixed,38,35-39,None,Non-veteran,Masters,2023-04-13,4,Q2-2023,Marketing,Manager_12,International,3.5268719224689553,High,33,7,Startup,42.396669816497095,74.93046185416506,53.61053096563236,60.15902958008657,66.43534054366843,55.02901462932246,45.695104172359436,87.41532929923252,82.49551923898167,76.8205222308063,Direct Application,1,Weak,International,Upper-middle,0,0,0,82985.3434643101,74.44120150300016,53.99878905644721,77.71822764363826,1,58.16848692548738,0,0.48473739104572816,Male,Mixed,35-39,None,Masters,Marketing,Male
5,Male,Indigenous,55,50-54,None,Non-veteran,Bachelors,2023-09-17,9,Q3-2023,Product,Manager_19,Top-100,2.856444048521932,Medium,0,10,Government,9.011954733770217,74.7330605933756,70.78615481332952,60.879907260924085,60.50942869383691,95.17029995351602,100.0,92.23234462970521,20.423286015891982,79.84349836816908,Employee Referral,0,None,Rural,Upper-middle,0,3,3,67403.52118687639,33.61618926174917,5.734908000520434,72.95997125397915,0,65.63633785423816,1,0.5469694821186514,Male,Indigenous,50-54,None,Bachelors,Product,Male
6,Male,Hispanic,59,55-59,Cognitive,Non-combat Veteran,PhD,2023-06-06,6,Q2-2023,HR,Manager_11,Top-100,3.074450532412437,High,0,0,Mid-size,33.60267057529167,54.129605128767395,37.277471857344864,72.63756627314582,49.3772316448106,63.815137782440985,42.027497582521356,67.22297646839021,86.35452754013588,37.446337777004466,Direct Application,0,None,Tier-3,Low,0,1,1,,95.89934053685967,93.65213750062689,53.01898787174565,0,9.043125117690067,0,0.07535937598075056,Male,Hispanic,55-59,Cognitive,PhD,HR,Male
7,Female,White,21,18-24,None,Non-veteran,Bachelors,2023-05-30,5,Q2-2023,Sales,Manager_4,Regional,2.812516021478456,Medium,6,13,Startup,19.069947359736936,65.28360594072954,64.0247857583357,78.87035759733536,99.78015714523583,60.42171093562909,92.0,53.14407465118735,75.86271971011415,53.76542073665294,LinkedIn,0,Strong,Tier-3,Upper-middle,0,1,0,59194.50365588183,85.7378940941992,94.0,67.88320561594558,0,59.442364897700756,1,0.495353040814173,Female,White,18-24,None,Bachelors,Sales,Female
8,Female,White,43,40-44,None,Non-veteran,PhD,2023-04-11,4,Q2-2023,HR,Manager_2,Regional,3.128772999739085,Medium,11,23,Mid-size,57.91920913249959,71.55012049840056,43.236210443557624,84.82385217401323,110.0,64.51832714843631,72.52510469574982,50.685004233883404,52.819540940949636,92.07587155529654,Direct Application,0,Strong,Tier-1,Middle,0,3,3,,81.9227332700548,64.88673048460815,71.2824525011533,0,61.55658023761697,1,0.5129715019801414,Female,White,40-44,None,PhD,HR,Female
9,Female,Black,47,45-49,None,Non-veteran,No Diploma,2023-01-17,1,Q1-2023,Sales,Manager_8,International,2.6613708806497054,Low,13,14,Startup,50.402238939563375,49.78385145349191,66.78733555067362,46.605722870876306,60.51824065704946,54.86936129013244,30.885719713176442,30.23458741491343,81.32568213987241,89.96579166708149,Recruiter,0,None,Tier-2,Upper-middle,1,1,0,,92.20392915676318,62.66624654976806,50.28289465958309,0,24.699018057360348,0,0.2058251504780029,Female,Black,45-49,None,No Diploma,Sales,Female
10,Female,Black,51,50-54,Physical,Non-veteran,Bachelors,2023-11-14,11,Q4-2023,Finance,Manager_10,Regional,3.1324941388755385,High,3,16,Mid-size,-4.64043892760931,66.70770701803518,59.16764913478381,65.99296632605878,54.49735516330054,54.391411253724385,63.42137048656477,67.215682922642,92.31150474991489,97.84431271866495,Direct Application,1,None,Tier-3,Upper-middle,0,1,1,60870.33127309481,100.0,75.18895076226242,57.235552024968904,0,6.025173757081703,0,0.05020978130901419,Female,Black,50-54,Physical,Bachelors,Finance,Female
11,Male,Middle Eastern,30,25-29,None,Combat Veteran,PhD,2023-06-11,6,Q2-2023,Product,Manager_15,International,4.0,Medium,17,15,Mid-size,71.35531956929694,88.06540553083646,50.993257311768545,50.90176996326566,62.093857597176395,84.33215254231592,81.93667000452535,88.89014022527195,41.93043643796025,65.22422781656512,Career Fair,0,None,Tier-2,Lower-middle,0,2,0,45716.65056858923,81.2486724571399,81.56670108522013,86.06620845825559,1,61.390317727318404,1,0.5115859810609867,Male,Middle Eastern,25-29,None,PhD,Product,Male
12,Male,White,64,60+,Multiple,Non-veteran,Masters,2023-08-10,8,Q3-2023,Product,Manager_19,International,3.010635098643248,High,5,8,Startup,26.83318068082003,55.03397241258213,51.70315175576647,104.58625711403675,63.49028114542264,63.1852817742506,36.28051712201443,60.768569571455295,58.54542148990521,45.1623506043504,Campus Recruiting,0,Medium,Tier-1,Middle,1,1,0,74966.29514787676,66.46060427689238,75.16194181173599,60.091017655190015,0,29.513224040300493,0,0.24594353366917077,Male,White,60+,Multiple,Masters,Product,Male
13,Male,White,38,35-39,None,Combat Veteran,Bachelors,2023-02-25,2,Q1-2023,Engineering,Manager_4,Regional,2.6979167560845525,Low,0,4,Startup,61.89900265800831,55.36683275198573,81.6041931695131,90.44955483699323,34.52123129252656,58.51362528258138,60.31470824319157,105.04362699864191,85.39289267324841,64.53400393120283,Employee Referral,0,None,Tier-1,Lower-middle,1,2,0,34628.830189853645,69.35344163843835,62.44057165488506,72.48959246807654,0,78.88675483181115,1,0.6573896235984262,Male,White,35-39,None,Bachelors,Engineering,Male
14,Female,Hispanic,31,30-34,None,Non-veteran,Associate,2023-10-04,10,Q4-2023,Sales,Manager_11,International,3.403708386005275,High,34,15,Mid-size,93.0,60.725929578275725,38.72990070361169,67.71939547252342,43.491911001554875,70.63455997929209,52.65267214210827,68.56776941467578,13.699742287350745,71.89590805365061,Direct Application,0,Medium,International,Lower-middle,0,3,3,,89.77734315685191,43.22755842171475,82.03092536029743,1,46.810755270181374,0,0.3900896272515115,Female,Hispanic,30-34,None,Associate,Sales,Female
15,Male,White,64,60+,None,Non-veteran,Associate,2023-07-01,7,Q3-2023,Engineering,Manager_16,Regional,3.463940007817637,High,1,12,Non-profit,39.70731843969242,88.21515534180064,40.613580774131464,83.70599171841789,86.64912266867654,65.77189662773871,97.8395384485224,67.56859711275098,57.07835276448303,78.7542853320327,Recruiter,0,Medium,Tier-1,Middle,0,3,2,78259.33511955365,100.0,100.0,74.92703090324942,0,63.361095420214085,1,0.528009128501784,Male,White,60+,None,Associate,Engineering,Male
16,Female,Black,41,40-44,Multiple,Non-veteran,Bachelors,2023-02-20,2,Q1-2023,Product,Manager_13,Regional,3.501673654223572,Low,6,17,Government,55.086701902550985,77.44109739325478,80.29790586250986,86.41342450306468,26.213436115154245,100.0,64.45790338027302,41.943702562182594,68.40668642600347,59.06172500085499,Career Fair,1,Medium,Tier-3,Lower-middle,1,3,2,,100.0,58.80551996285877,77.06683652072883,1,26.800359482017598,0,0.2233363290168133,Female,Black,40-44,Multiple,Bachelors,Product,Female
17,Male,Asian,23,18-24,None,Non-veteran,Bachelors,2023-11-02,11,Q4-2023,Engineering,Manager_11,International,2.9800046446972352,Medium,2,0,Tech-Giant,85.0,55.76356003021432,66.8698551049511,57.416435333169346,81.47301332119092,55.379343459170144,59.03590826789821,78.46337909506697,59.395752412415206,90.27263694881637,LinkedIn,0,Strong,Tier-3,Prefer not to say,1,5,4,56312.03493435723,100.0,69.51636235341613,65.6568263486867,0,68.96821583832022,1,0.5747351319860018,Male,Asian,18-24,None,Bachelors,Engineering,Male
18,Female,Middle Eastern,54,50-54,None,Non-veteran,Masters,2023-10-02,10,Q4-2023,Engineering,Manager_11,Top-100,3.340853764172283,Medium,5,17,Mid-size,19.5993118425269,45.622679690741904,59.05663274622802,86.07076364189682,56.71190786722153,74.76881930936482,88.2672565935663,118.8483649830803,60.88853256211335,52.243279552160374,Employee Referral,0,None,Rural,Upper-middle,1,2,2,,63.157313426731875,59.60387984886043,77.68131287728112,1,50.77522520007804,0,0.423126876667317,Female,Middle Eastern,50-54,None,Masters,Engineering,Female
19,Male,Black,54,50-54,Physical,Non-veteran,Bachelors,2023-01-09,1,Q1-2023,Engineering,Manager_11,Regional,2.7039328598851124,Medium,20,0,Unemployed,47.09592644651905,60.70184615633161,85.5890406964219,67.80132019730512,-7.420773380700942,76.48875096896137,97.0,53.18096144215558,48.02336608992398,74.792230034936,Direct Application,0,None,Tier-3,Low,0,3,2,,84.51240921646237,73.36575555804905,80.93748196759466,1,18.08676855635934,0,0.15072307130299448,Male,Black,50-54,Physical,Bachelors,Engineering,Male
20,Male,White,43,40-44,None,Non-veteran,High School,2023-03-13,3,Q1-2023,Sales,Manager_5,Regional,3.782860750928048,Low,0,11,Mid-size,100.0,76.08152622601959,42.50525156312454,62.49427300334649,58.64160941361004,89.57731475773647,46.79547689725637,79.42761800171792,47.42315444051922,106.11060049120181,Employee Referral,1,None,Tier-1,Lower-middle,0,3,3,27682.253470203308,83.25279474507587,86.36166536590025,71.06130273233558,0,74.25821235858488,1,0.6188184363215407,Male,White,40-44,None,High School,Sales,Male
