group,race,neighborhood,time_of_day,vehicle_type,prior_stops,y_true,y_pred,y_prob
Black_Mixed,Black,Mixed,Day,SUV,0,0,0,0.4378243819857963
Black_Affluent,Black,Affluent,Night,SUV,2,0,0,0.4164277391593224
White_Low_Income,White,Low_Income,Day,Sedan,2,1,1,0.6109633643202266
Black_Affluent,Black,Affluent,Night,SUV,2,0,0,0.3958589926869704
White_Mixed,White,Mixed,Night,Sedan,1,0,0,0.33652465861493364
Hispanic_Low_Income,Hispanic,Low_Income,Day,SUV,2,1,1,0.6989863497794525
White_Low_Income,White,Low_Income,Day,Sedan,0,0,0,0.41260141695515135
White_Low_Income,White,Low_Income,Day,Sedan,0,0,0,0.4096657706662199
Hispanic_Mixed,Hispanic,Mixed,Day,Sedan,1,0,0,0.3749123203304329
White_Mixed,White,Mixed,Day,Sedan,4,0,0,0.40305470724788517
Black_Low_Income,Black,Low_Income,Day,Sedan,1,0,0,0.659777195186769
White_Low_Income,White,Low_Income,Night,SUV,1,1,1,0.7472816051647764
White_Mixed,White,Mixed,Night,Sedan,5,1,1,0.598946423301025
Black_Low_Income,Black,Low_Income,Night,Sedan,2,1,1,0.7913958991998609
Hispanic_Affluent,Hispanic,Affluent,Night,Sedan,1,0,0,0.49443239069086264
White_Low_Income,White,Low_Income,Day,SUV,3,1,1,0.5764126915436795
White_Mixed,White,Mixed,Night,Luxury,3,0,0,0.4275433008585421
Hispanic_Mixed,Hispanic,Mixed,Day,SUV,1,0,0,0.41553459563071893
White_Low_Income,White,Low_Income,Day,Sedan,0,0,0,0.3204861175791334
Black_Low_Income,Black,Low_Income,Night,Sedan,3,1,1,0.9467256759585667
White_Affluent,White,Affluent,Night,Sedan,2,1,1,0.43813988478335586
White_Affluent,White,Affluent,Day,Sedan,4,0,0,0.2940138314323185
White_Low_Income,White,Low_Income,Day,Sedan,0,1,1,0.5848508959207841
White_Low_Income,White,Low_Income,Day,SUV,0,0,0,0.46712900506165583
White_Affluent,White,Affluent,Day,Sedan,2,0,0,0.1279616132104477
Hispanic_Mixed,Hispanic,Mixed,Day,SUV,3,0,0,0.4789337981483027
White_Low_Income,White,Low_Income,Day,SUV,4,1,1,0.6305130107482266
White_Affluent,White,Affluent,Day,SUV,3,0,0,0.3676111449443039
White_Low_Income,White,Low_Income,Day,SUV,1,0,0,0.4510352725193697
White_Mixed,White,Mixed,Night,Sedan,3,0,0,0.49795904299945826
White_Mixed,White,Mixed,Day,Sedan,1,0,0,0.323818997816734
White_Mixed,White,Mixed,Night,Sedan,1,1,1,0.5661708231015601
White_Mixed,White,Mixed,Night,SUV,3,0,0,0.4646999440702533
Hispanic_Affluent,Hispanic,Affluent,Night,Sedan,1,0,1,0.5332392151164003
Black_Affluent,Black,Affluent,Day,SUV,5,1,1,0.5178620914920846
Hispanic_Low_Income,Hispanic,Low_Income,Night,Luxury,1,1,1,0.7031887635762004
White_Affluent,White,Affluent,Night,Sedan,2,0,0,0.37596689972190844
White_Low_Income,White,Low_Income,Day,SUV,4,1,1,0.6803629428103346
Black_Low_Income,Black,Low_Income,Night,SUV,3,1,1,0.9381149273857341
Hispanic_Affluent,Hispanic,Affluent,Day,Sedan,1,0,0,0.2513932128947877
White_Affluent,White,Affluent,Night,Sedan,3,0,0,0.342130540762694
Hispanic_Affluent,Hispanic,Affluent,Day,Sedan,2,0,0,0.18885579666261149
White_Low_Income,White,Low_Income,Day,Sedan,0,0,0,0.3722176978576939
Black_Mixed,Black,Mixed,Day,Luxury,1,0,0,0.1920139752160943
White_Mixed,White,Mixed,Night,SUV,2,1,1,0.5113227128702814
White_Affluent,White,Affluent,Day,Sedan,2,0,0,0.2970991097671185
White_Affluent,White,Affluent,Night,Sedan,1,0,0,0.08047132679672964
White_Mixed,White,Mixed,Day,SUV,2,0,0,0.43219569328677576
White_Affluent,White,Affluent,Day,Sedan,3,0,0,0.2621199891165247
Black_Mixed,Black,Mixed,Day,Luxury,4,1,1,0.5204427795128124
White_Affluent,White,Affluent,Day,Sedan,2,0,0,0.23253256329569735
Black_Low_Income,Black,Low_Income,Day,Sedan,8,1,1,1.0
White_Mixed,White,Mixed,Day,Sedan,1,0,0,0.27780755069676183
White_Mixed,White,Mixed,Day,Sedan,4,0,0,0.3670012718390908
White_Mixed,White,Mixed,Night,SUV,4,1,1,0.5806091823056169
White_Mixed,White,Mixed,Day,Sedan,0,1,1,0.5550815791339598
Hispanic_Low_Income,Hispanic,Low_Income,Day,SUV,3,1,1,0.6123206446753575
White_Affluent,White,Affluent,Day,SUV,3,0,0,0.32907448469254696
White_Mixed,White,Mixed,Day,SUV,2,0,0,0.4949642071375186
Black_Affluent,Black,Affluent,Night,SUV,1,1,1,0.6049093904280916
White_Low_Income,White,Low_Income,Day,Sedan,3,1,1,0.6431644583565432
Hispanic_Mixed,Hispanic,Mixed,Day,Luxury,4,0,0,0.4311979246252319
Black_Low_Income,Black,Low_Income,Night,Sedan,4,1,1,0.8904376068772364
White_Mixed,White,Mixed,Day,SUV,0,1,1,0.5383783736084018
White_Low_Income,White,Low_Income,Day,SUV,1,1,1,0.5585395597845237
White_Affluent,White,Affluent,Day,SUV,4,0,0,0.31571724788338673
Hispanic_Low_Income,Hispanic,Low_Income,Night,SUV,3,1,1,0.7768054927021125
White_Low_Income,White,Low_Income,Day,Luxury,1,1,1,0.524439042692558
White_Low_Income,White,Low_Income,Night,Sedan,2,1,1,0.7078316577499568
Hispanic_Low_Income,Hispanic,Low_Income,Day,Sedan,3,1,1,0.5508913668787164
Black_Low_Income,Black,Low_Income,Day,Sedan,1,1,1,0.9522722991320816
White_Low_Income,White,Low_Income,Night,SUV,0,1,1,0.7662735239232422
White_Mixed,White,Mixed,Day,SUV,2,0,0,0.3969279282962519
Black_Low_Income,Black,Low_Income,Day,Sedan,0,1,1,0.8070532119207876
Black_Affluent,Black,Affluent,Night,SUV,2,0,0,0.44507630138599136
White_Affluent,White,Affluent,Night,Sedan,1,0,0,0.3731808658937339
Black_Low_Income,Black,Low_Income,Night,SUV,2,1,1,0.8413572749140128
White_Low_Income,White,Low_Income,Day,Sedan,1,0,0,0.4963363775678379
Black_Affluent,Black,Affluent,Day,Sedan,1,0,0,0.43909936729476473
White_Low_Income,White,Low_Income,Night,Luxury,0,1,1,0.7195820419888758
White_Low_Income,White,Low_Income,Day,Sedan,1,1,1,0.6912313828979123
Black_Mixed,Black,Mixed,Night,Sedan,0,0,0,0.4230631246821749
Hispanic_Mixed,Hispanic,Mixed,Day,Sedan,2,0,0,0.41904059899820517
White_Mixed,White,Mixed,Day,Sedan,2,0,0,0.4207666553037373
Black_Mixed,Black,Mixed,Day,Luxury,1,0,0,0.3641469595492259
Black_Mixed,Black,Mixed,Night,Sedan,3,1,1,0.5344223627527257
White_Mixed,White,Mixed,Day,SUV,1,0,0,0.2997856819288655
White_Low_Income,White,Low_Income,Day,SUV,4,0,0,0.3739261218655019
Hispanic_Mixed,Hispanic,Mixed,Night,Sedan,2,0,0,0.5989852394146438
White_Affluent,White,Affluent,Night,Luxury,3,0,0,0.34170392282923745
White_Affluent,White,Affluent,Day,Sedan,1,0,0,0.18345327535528141
White_Affluent,White,Affluent,Day,SUV,0,0,0,0.11358004713955136
Black_Affluent,Black,Affluent,Day,Luxury,4,0,0,0.4145975962928803
White_Affluent,White,Affluent,Day,Sedan,3,0,0,0.11054547223317346
White_Affluent,White,Affluent,Day,Luxury,2,0,0,0.16580859434313147
Black_Mixed,Black,Mixed,Day,SUV,3,0,0,0.42393488727382744
Black_Affluent,Black,Affluent,Night,Sedan,2,1,1,0.5292033536608417
Black_Affluent,Black,Affluent,Day,Sedan,2,0,0,0.17431602859081805
Black_Low_Income,Black,Low_Income,Night,Sedan,0,1,1,0.782575676306664
White_Mixed,White,Mixed,Day,Sedan,3,0,0,0.33027357273202707
White_Affluent,White,Affluent,Night,Luxury,3,0,0,0.31509283310863645
Black_Low_Income,Black,Low_Income,Day,Sedan,1,1,1,0.7279894826748177
Black_Low_Income,Black,Low_Income,Day,SUV,5,0,1,0.6471857320453029
White_Affluent,White,Affluent,Day,Sedan,4,0,0,0.14285411340041018
White_Affluent,White,Affluent,Night,Sedan,3,0,0,0.27778026819626556
White_Low_Income,White,Low_Income,Night,SUV,0,1,1,0.5542252130876855
White_Mixed,White,Mixed,Night,Sedan,3,0,0,0.40959534512586204
White_Low_Income,White,Low_Income,Night,Sedan,2,1,1,0.6543805920637579
White_Low_Income,White,Low_Income,Day,Sedan,1,1,1,0.5033513636703486
White_Affluent,White,Affluent,Day,Luxury,2,0,0,0.14040751147206704
White_Low_Income,White,Low_Income,Day,Sedan,0,1,1,0.5415498692498195
Black_Affluent,Black,Affluent,Day,SUV,4,0,0,0.38416380153948104
White_Mixed,White,Mixed,Day,Luxury,5,0,0,0.19100209237670035
White_Affluent,White,Affluent,Day,Luxury,2,0,0,0.14009548124216314
White_Mixed,White,Mixed,Day,Sedan,1,0,0,0.48670652397770064
White_Mixed,White,Mixed,Day,Sedan,2,0,0,0.32496194528547884
Black_Mixed,Black,Mixed,Day,SUV,4,1,1,0.5544648876665131
White_Mixed,White,Mixed,Day,SUV,2,0,0,0.31011045340046955
Hispanic_Affluent,Hispanic,Affluent,Day,Luxury,0,0,0,0.35164748245046795
Black_Affluent,Black,Affluent,Night,SUV,3,0,0,0.40096973013255177
White_Mixed,White,Mixed,Day,SUV,3,0,0,0.2812560386193828
Black_Affluent,Black,Affluent,Day,Sedan,3,0,0,0.12820136662906972
Hispanic_Mixed,Hispanic,Mixed,Day,Sedan,0,1,1,0.5376437183012479
White_Mixed,White,Mixed,Day,Sedan,1,0,0,0.3464943767920131
Hispanic_Affluent,Hispanic,Affluent,Day,SUV,4,0,0,0.16043819696645684
White_Mixed,White,Mixed,Day,SUV,3,0,0,0.4684283205294109
Hispanic_Affluent,Hispanic,Affluent,Day,Sedan,4,1,1,0.5040630615348733
White_Mixed,White,Mixed,Day,Sedan,1,0,0,0.317263680040141
White_Affluent,White,Affluent,Day,Sedan,2,0,0,0.26571051872763085
Black_Affluent,Black,Affluent,Day,SUV,2,0,0,0.46851440924222487
Hispanic_Affluent,Hispanic,Affluent,Day,SUV,1,0,0,0.27739284653930685
White_Affluent,White,Affluent,Day,Sedan,1,0,0,0.08439376272930496
White_Affluent,White,Affluent,Night,SUV,1,0,0,0.1557729379211222
White_Mixed,White,Mixed,Night,Sedan,3,1,1,0.6006645899150466
White_Low_Income,White,Low_Income,Day,Luxury,4,1,1,0.5497105476401458
White_Low_Income,White,Low_Income,Night,Sedan,2,1,1,0.7022316833478716
White_Mixed,White,Mixed,Day,Sedan,3,0,0,0.46139569716039097
Black_Affluent,Black,Affluent,Night,Sedan,1,0,0,0.3623205199258539
White_Low_Income,White,Low_Income,Day,Sedan,3,1,1,0.6008200840734519
Black_Low_Income,Black,Low_Income,Day,Sedan,2,1,1,0.7089504080207774
White_Low_Income,White,Low_Income,Night,SUV,0,1,1,0.647673840009878
White_Mixed,White,Mixed,Night,Sedan,2,1,1,0.5573094208497579
Hispanic_Affluent,Hispanic,Affluent,Day,Sedan,2,0,0,0.33667008642332613
Hispanic_Mixed,Hispanic,Mixed,Day,Luxury,3,1,1,0.5490355510243143
White_Mixed,White,Mixed,Day,Luxury,2,0,0,0.4620483881754071
White_Affluent,White,Affluent,Night,SUV,3,0,0,0.25735811565923117
White_Affluent,White,Affluent,Day,Sedan,1,0,0,0.07398339520647951
Hispanic_Mixed,Hispanic,Mixed,Day,SUV,0,0,0,0.32752215243702615
White_Affluent,White,Affluent,Day,Sedan,2,0,0,0.3627636494825969
White_Mixed,White,Mixed,Night,SUV,3,1,1,0.5728770861642408
White_Mixed,White,Mixed,Night,Sedan,2,1,1,0.6267308109594021
Black_Affluent,Black,Affluent,Day,Sedan,1,0,0,0.359007585751286
White_Mixed,White,Mixed,Night,SUV,3,1,1,0.7080292904722455
Black_Mixed,Black,Mixed,Day,Sedan,0,0,0,0.33675413485822975
White_Mixed,White,Mixed,Day,Sedan,1,0,0,0.4474196887532736
Black_Affluent,Black,Affluent,Night,Luxury,4,0,0,0.39846516165670703
White_Mixed,White,Mixed,Night,Sedan,0,0,0,0.35530285253545535
White_Mixed,White,Mixed,Night,SUV,0,1,1,0.5286837992099139
Hispanic_Affluent,Hispanic,Affluent,Day,Luxury,3,0,0,0.18120856714137865
Hispanic_Mixed,Hispanic,Mixed,Night,SUV,2,0,0,0.5556427139475598
Black_Affluent,Black,Affluent,Day,SUV,0,0,0,0.34240130453654527
Black_Low_Income,Black,Low_Income,Night,SUV,1,0,0,0.6605681992223061
Black_Mixed,Black,Mixed,Day,Sedan,2,1,1,0.541699644859324
Black_Low_Income,Black,Low_Income,Night,SUV,3,1,1,0.7331319080963614
White_Mixed,White,Mixed,Night,Sedan,1,0,0,0.40404776836836676
Black_Mixed,Black,Mixed,Night,Sedan,1,0,0,0.4429256635050739
Hispanic_Low_Income,Hispanic,Low_Income,Day,SUV,0,0,0,0.48443450170033847
Hispanic_Mixed,Hispanic,Mixed,Day,SUV,2,0,0,0.40215942335861626
White_Mixed,White,Mixed,Night,SUV,2,0,0,0.44912333905602464
Hispanic_Affluent,Hispanic,Affluent,Day,Sedan,0,0,0,0.431290245123632
Black_Mixed,Black,Mixed,Night,Sedan,0,0,0,0.3138873223134291
White_Low_Income,White,Low_Income,Day,Sedan,2,1,1,0.7840905422736342
White_Low_Income,White,Low_Income,Night,SUV,0,1,1,0.5645715857007421
White_Affluent,White,Affluent,Day,Sedan,1,0,0,0.1743099142515361
Hispanic_Mixed,Hispanic,Mixed,Night,SUV,4,1,1,0.8073239156592699
Hispanic_Affluent,Hispanic,Affluent,Night,SUV,0,0,1,0.3201820609964504
Black_Mixed,Black,Mixed,Day,SUV,1,0,0,0.36692244963813003
Black_Mixed,Black,Mixed,Night,Sedan,2,1,1,0.6077331203924943
White_Affluent,White,Affluent,Day,SUV,2,0,0,0.19360157598817948
White_Mixed,White,Mixed,Day,SUV,3,0,0,0.4523305409899737
