group,y_true,y_pred,age,sex,priors_count
Other,0,0,69,Male,0
African-American,1,0,34,Male,0
African-American,1,0,24,Male,4
Other,0,0,44,Male,0
Caucasian,1,0,41,Male,14
Other,0,0,43,Male,3
Caucasian,0,0,39,Female,0
Caucasian,0,0,27,Male,0
African-American,1,0,23,Male,3
Caucasian,0,0,37,Female,0
African-American,0,0,41,Male,0
Caucasian,1,0,47,Female,1
African-American,1,0,31,Male,7
Hispanic,0,0,37,Male,0
African-American,0,1,25,Male,3
Caucasian,1,0,31,Male,6
Caucasian,1,0,31,Male,5
African-American,1,0,64,Male,13
African-American,1,1,21,Male,1
Caucasian,1,0,27,Male,0
Caucasian,0,0,21,Female,0
Hispanic,1,0,24,Male,1
Caucasian,0,0,43,Male,1
Other,0,0,32,Male,0
African-American,1,0,27,Male,8
African-American,1,0,26,Male,5
African-American,1,1,33,Male,0
Caucasian,1,1,30,Male,9
African-American,1,1,32,Male,4
Caucasian,0,0,55,Male,0
Other,1,0,49,Male,7
Caucasian,1,0,33,Female,4
Caucasian,1,0,24,Male,1
African-American,1,1,34,Male,21
Caucasian,0,0,29,Male,0
African-American,0,1,21,Female,2
African-American,0,0,51,Male,2
Caucasian,1,0,29,Male,2
African-American,0,0,51,Female,7
African-American,1,0,29,Male,0
Caucasian,1,1,25,Male,9
African-American,1,1,35,Male,13
Caucasian,0,0,49,Male,0
African-American,0,0,29,Male,0
Caucasian,1,0,29,Male,1
Other,0,0,28,Female,0
African-American,0,0,31,Male,15
African-American,1,0,24,Male,2
Hispanic,0,0,30,Male,0
African-American,0,0,49,Male,4
Caucasian,0,0,53,Male,8
African-American,0,0,35,Male,5
African-American,1,1,27,Male,15
Caucasian,1,0,38,Male,4
African-American,1,0,22,Male,1
African-American,1,1,29,Male,4
Hispanic,0,0,62,Male,0
African-American,1,0,27,Male,6
Other,0,0,33,Male,0
African-American,0,0,56,Female,0
Hispanic,1,0,45,Male,6
Hispanic,0,0,22,Male,1
African-American,0,0,39,Male,1
African-American,1,0,29,Male,5
Caucasian,1,0,27,Male,1
African-American,0,0,40,Male,2
African-American,1,0,22,Male,1
Caucasian,0,1,22,Male,0
African-American,1,0,26,Female,1
African-American,0,0,32,Male,0
African-American,0,0,41,Male,1
African-American,1,1,30,Male,8
Other,1,0,50,Male,0
African-American,1,1,25,Male,14
Other,1,0,20,Male,0
African-American,1,1,22,Male,2
African-American,0,0,35,Female,1
African-American,1,0,36,Male,9
Caucasian,1,1,26,Male,7
Other,1,0,21,Male,1
Caucasian,1,1,25,Male,9
Caucasian,0,0,20,Female,0
Caucasian,1,0,39,Male,2
Caucasian,0,0,54,Female,0
Hispanic,0,0,44,Female,0
African-American,1,0,19,Male,1
African-American,0,0,30,Male,1
Caucasian,1,0,39,Female,0
Caucasian,1,0,24,Male,8
Caucasian,0,0,30,Male,0
Caucasian,0,0,31,Male,0
Caucasian,0,0,39,Female,1
Caucasian,0,0,43,Male,1
African-American,1,1,21,Male,3
Caucasian,1,0,38,Male,5
Caucasian,0,0,34,Male,0
African-American,1,0,33,Male,5
African-American,0,0,37,Male,3
Caucasian,1,0,42,Male,1
African-American,1,1,41,Male,10
African-American,1,0,22,Male,0
African-American,1,1,33,Male,28
African-American,0,0,31,Male,1
Other,0,0,30,Female,1
Caucasian,1,1,31,Male,13
African-American,1,1,27,Male,3
Caucasian,0,1,52,Male,3
African-American,1,1,33,Male,19
Caucasian,0,0,42,Male,6
Caucasian,0,0,25,Female,2
Caucasian,0,0,30,Male,1
Other,0,0,37,Female,2
Caucasian,1,0,28,Male,0
African-American,0,0,24,Female,0
Caucasian,1,0,29,Female,10
Caucasian,1,0,44,Male,2
African-American,1,0,32,Male,3
Caucasian,1,0,31,Male,2
African-American,0,0,31,Male,1
Caucasian,1,0,59,Male,1
African-American,0,1,20,Female,1
Caucasian,0,0,43,Female,0
African-American,1,1,38,Male,9
African-American,1,0,32,Male,11
African-American,1,0,33,Male,8
African-American,1,0,31,Female,0
African-American,1,1,33,Female,7
African-American,1,1,27,Male,2
African-American,0,0,20,Female,0
Caucasian,0,0,26,Female,0
African-American,1,0,61,Female,1
Other,1,0,52,Male,13
Hispanic,0,0,63,Male,1
African-American,1,1,32,Female,4
Hispanic,0,0,29,Male,1
African-American,1,0,26,Female,2
Caucasian,0,0,39,Male,1
Caucasian,1,0,30,Female,3
African-American,0,0,30,Male,1
Caucasian,0,0,48,Male,2
African-American,0,0,22,Male,1
Caucasian,1,0,46,Male,6
Caucasian,0,0,31,Male,0
African-American,1,0,25,Male,1
Hispanic,0,0,23,Male,0
African-American,0,0,32,Female,5
Hispanic,0,0,52,Male,2
African-American,0,0,62,Male,8
Hispanic,1,1,31,Male,8
African-American,1,0,28,Male,6
Hispanic,0,0,54,Male,2
Hispanic,0,0,58,Male,0
Caucasian,1,0,78,Male,1
Caucasian,0,0,56,Male,0
Other,0,0,24,Male,0
African-American,1,0,22,Male,1
African-American,1,1,47,Male,23
African-American,1,0,23,Male,0
Hispanic,0,0,57,Male,1
African-American,0,0,66,Male,3
Caucasian,1,0,45,Male,8
African-American,1,1,37,Male,2
